date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:06:16	203109/203109	---MCZ	200	added ('OK')	text/html	etag:%226646614c-31965%22	https://htmldemo.net/lukani/lukani/index.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/index.html	(from )
11:06:16	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2005:37:35%20GMT	https://htmldemo.net/robots.txt		(from )
11:06:17	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2266dcae45-47e%22	https://htmldemo.net/lukani/lukani/assets/img/favicon.ico	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/assets/img/favicon.ico	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:18	155845/155845	---MCZ	200	added ('OK')	text/css	etag:%2261932b85-260c5%22	https://htmldemo.net/lukani/lukani/assets/css/bootstrap.min.css	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/assets/css/bootstrap.min.css	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:19	3401/3401	---MCZ	200	added ('OK')	text/css	etag:%2266d475db-d49%22	https://htmldemo.net/lukani/lukani/assets/css/owl.carousel.min.css	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/assets/css/owl.carousel.min.css	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:19	1776/1776	---MCZ	200	added ('OK')	text/css	etag:%2266d475db-6f0%22	https://htmldemo.net/lukani/lukani/assets/css/slick.css	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/assets/css/slick.css	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:20	6951/6951	---MCZ	200	added ('OK')	text/css	etag:%2266d475db-1b27%22	https://htmldemo.net/lukani/lukani/assets/css/magnific-popup.css	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/assets/css/magnific-popup.css	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:20	30896/30896	---MCZ	200	added ('OK')	text/css	etag:%2261934ec4-78b0%22	https://htmldemo.net/lukani/lukani/assets/css/font.awesome.css	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/assets/css/font.awesome.css	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:21	75632/75632	---MCZ	200	added ('OK')	text/css	etag:%2266d475db-12770%22	https://htmldemo.net/lukani/lukani/assets/css/animate.css	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/assets/css/animate.css	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:21	21338/21338	---MCZ	200	added ('OK')	text/css	etag:%2266d475db-535a%22	https://htmldemo.net/lukani/lukani/assets/css/jquery-ui.min.css	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/assets/css/jquery-ui.min.css	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:22	2557/2557	---MCZ	200	added ('OK')	text/css	etag:%2261932b84-9fd%22	https://htmldemo.net/lukani/lukani/assets/css/slinky.menu.css	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/assets/css/slinky.menu.css	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:22	37033/37033	---MCZ	200	added ('OK')	text/css	etag:%2261932b84-90a9%22	https://htmldemo.net/lukani/lukani/assets/css/plugins.css	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/assets/css/plugins.css	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:24	223848/223848	---MCZ	200	added ('OK')	text/css	etag:%2266d475db-36a68%22	https://htmldemo.net/lukani/lukani/assets/css/style.css	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/assets/css/style.css	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:24	8599/8599	---MCZ	200	added ('OK')	application/javascript	etag:%2265604905-2197%22	https://htmldemo.net/lukani/lukani/assets/js/vendor/modernizr-3.7.1.min.js	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/assets/js/vendor/modernizr-3.7.1.min.js	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:25	97216/97216	---MCZ	200	added ('OK')	text/html	etag:%2266dc740d-17bc0%22	https://htmldemo.net/lukani/lukani/index-2.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/index-2.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:25	98928/98928	---MCZ	200	added ('OK')	text/html	etag:%226567b62f-18270%22	https://htmldemo.net/lukani/lukani/index-3.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/index-3.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:26	189418/189418	---MCZ	200	added ('OK')	text/html	etag:%226567b62f-2e3ea%22	https://htmldemo.net/lukani/lukani/index-4.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/index-4.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:29	186132/186132	---MCZ	200	added ('OK')	text/html	etag:%2266dc740d-2d714%22	https://htmldemo.net/lukani/lukani/index-5.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/index-5.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:30	151691/151691	---MCZ	200	added ('OK')	text/html	etag:%2266dc740d-2508b%22	https://htmldemo.net/lukani/lukani/shop.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/shop.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:31	137565/137565	---MCZ	200	added ('OK')	text/html	etag:%226567b62f-2195d%22	https://htmldemo.net/lukani/lukani/shop-fullwidth.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/shop-fullwidth.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:31	137363/137363	---MCZ	200	added ('OK')	text/html	etag:%2266dfac23-21893%22	https://htmldemo.net/lukani/lukani/shop-fullwidth-list.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/shop-fullwidth-list.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:33	151706/151706	---MCZ	200	added ('OK')	text/html	etag:%2266dc740d-2509a%22	https://htmldemo.net/lukani/lukani/shop-right-sidebar.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/shop-right-sidebar.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:34	151511/151511	---MCZ	200	added ('OK')	text/html	etag:%2266dfac23-24fd7%22	https://htmldemo.net/lukani/lukani/shop-right-sidebar-list.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/shop-right-sidebar-list.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:35	151496/151496	---MCZ	200	added ('OK')	text/html	etag:%2266dc740d-24fc8%22	https://htmldemo.net/lukani/lukani/shop-list.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/shop-list.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:35	55892/55892	---MCZ	200	added ('OK')	text/html	etag:%226567b62e-da54%22	https://htmldemo.net/lukani/lukani/cart.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/cart.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:35	53775/53775	---MCZ	200	added ('OK')	text/html	etag:%2266dc740d-d20f%22	https://htmldemo.net/lukani/lukani/wishlist.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/wishlist.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:36	66932/66932	---MCZ	200	added ('OK')	text/html	etag:%226567b62f-10574%22	https://htmldemo.net/lukani/lukani/checkout.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/checkout.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:36	59808/59808	---MCZ	200	added ('OK')	text/html	etag:%2266dfac23-e9a0%22	https://htmldemo.net/lukani/lukani/my-account.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/my-account.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:37	49655/49655	---MCZ	200	added ('OK')	text/html	etag:%2266dc740d-c1f7%22	https://htmldemo.net/lukani/lukani/404.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/404.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:37	112632/112632	---MCZ	200	added ('OK')	text/html	etag:%226567b62f-1b7f8%22	https://htmldemo.net/lukani/lukani/product-details.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/product-details.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:39	137007/137007	---MCZ	200	added ('OK')	text/html	etag:%2266dfac23-2172f%22	https://htmldemo.net/lukani/lukani/product-sidebar.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/product-sidebar.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:39	94957/94957	---MCZ	200	added ('OK')	text/html	etag:%226567b62e-172ed%22	https://htmldemo.net/lukani/lukani/product-grouped.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/product-grouped.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:40	113602/113602	---MCZ	200	added ('OK')	text/html	etag:%2266dfac23-1bbc2%22	https://htmldemo.net/lukani/lukani/variable-product.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/variable-product.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:41	67472/67472	---MCZ	200	added ('OK')	text/html	etag:%226567b62e-10790%22	https://htmldemo.net/lukani/lukani/blog.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/blog.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:41	71842/71842	---MCZ	200	added ('OK')	text/html	etag:%226646614c-118a2%22	https://htmldemo.net/lukani/lukani/blog-details.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/blog-details.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:42	67472/67472	---MCZ	200	added ('OK')	text/html	etag:%226567b62e-10790%22	https://htmldemo.net/lukani/lukani/blog-fullwidth.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/blog-fullwidth.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:42	67485/67485	---MCZ	200	added ('OK')	text/html	etag:%226567b62e-1079d%22	https://htmldemo.net/lukani/lukani/blog-sidebar.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/blog-sidebar.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:43	69342/69342	---MCZ	200	added ('OK')	text/html	etag:%226646614c-10ede%22	https://htmldemo.net/lukani/lukani/about.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/about.html	(from https://htmldemo.net/lukani/lukani/index.html)
11:06:43	61231/61231	---MCZ	200	added ('OK')	text/html	etag:%226567b62f-ef2f%22	https://htmldemo.net/lukani/lukani/services.html	D:/Project(Agro%20Build)/Lukani/htmldemo.net/lukani/lukani/services.html	(from https://htmldemo.net/lukani/lukani/index.html)
